Technique,Description,Citation (Author, Year, Journal),Paper Title,DOI,URL
Aerobic exercise,"Do brisk walking, jogging, cycling, swimming, or similar moderate-to-vigorous movement for 20–45 minutes on most days.","Noetel et al., 2024, The BMJ",Effect of exercise for depression: systematic review and network meta-analysis of randomised controlled trials,10.1136/bmj-2023-075847,https://doi.org/10.1136/bmj-2023-075847
Aerobic exercise,"Do brisk walking, jogging, cycling, swimming, or similar moderate-to-vigorous movement for 20–45 minutes on most days.","Heissel et al., 2023, Br. J. Sports Medicine",Exercise as medicine for depressive symptoms? A systematic review and meta-analysis with meta-regression,10.1136/bjsports-2022-106282,https://doi.org/10.1136/bjsports-2022-106282
Resistance training,Train major muscle groups 2–3 times per week with progressive overload and enough recovery.,"Gordon et al., 2018, JAMA Psychiatry",Association of Efficacy of Resistance Exercise Training With Depressive Symptoms,10.1001/jamapsychiatry.2018.0572,https://doi.org/10.1001/jamapsychiatry.2018.0572
CBT Thought Record,"Use a structured worksheet to log a situation, the emotion it triggered, the automatic thought, the evidence for and against it, and a balanced alternative.","Cuijpers et al., 2023, World Psychiatry","Cognitive behavior therapy vs. control conditions, other psychotherapies, pharmacotherapies and combined treatment for depression: a comprehensive meta‐analysis including 409 trials with 52,702 patients",10.1002/wps.21069,https://doi.org/10.1002/wps.21069
ABC Technique,"See how a Belief (B) — not the Activating event (A) itself — drives your emotional Consequence (C), then dispute that belief to change the reaction.","David et al., 2018, J. Clinical Psychology",50 years of rational‐emotive and cognitive‐behavioral therapy: A systematic review and meta‐analysis,10.1002/jclp.22514,https://doi.org/10.1002/jclp.22514
ABC Technique,"See how a Belief (B) — not the Activating event (A) itself — drives your emotional Consequence (C), then dispute that belief to change the reaction.","King et al., 2024, PLOS ONE",A systematic review of the nature and efficacy of Rational Emotive Behaviour Therapy interventions,10.1371/journal.pone.0306835,https://doi.org/10.1371/journal.pone.0306835
Cognitive restructuring,"Catch a distorted or exaggerated thought, weigh the actual evidence for and against it, and reframe it in more accurate, balanced terms.","Ciharova et al., 2021, J. Consulting & Clinical Psych.","Cognitive restructuring, behavioral activation and cognitive-behavioral therapy in the treatment of adult depression: A network meta-analysis.",10.1037/ccp0000654,https://doi.org/10.1037/ccp0000654
Behavioral activation,"Schedule small rewarding or valued actions before motivation appears, then track mood afterward.","Stein et al., 2021, Psychological Medicine","Looking beyond depression: a meta-analysis of the effect of behavioral activation on depression, anxiety, and activation",10.1017/S0033291720000239,https://doi.org/10.1017/S0033291720000239
Behavioral activation,"Schedule small rewarding or valued actions before motivation appears, then track mood afterward.","Cuijpers et al., 2023, Psychotherapy Research",Individual behavioral activation in the treatment of depression: A meta analysis,10.1080/10503307.2023.2197630,https://doi.org/10.1080/10503307.2023.2197630
Graded exposure,"Build a fear hierarchy and repeatedly face feared situations without escaping or using safety behaviors, advancing as each becomes manageable.","Wolitzky-Taylor et al., 2008, Clinical Psych. Review",Psychological approaches in the treatment of specific phobias: A meta-analysis,10.1016/j.cpr.2008.02.007,https://doi.org/10.1016/j.cpr.2008.02.007
ERP (exposure + prevention),"Trigger the obsession or fear while deliberately not doing the compulsion, reassurance, avoidance, or escape behavior.","Reid et al., 2021, Comprehensive Psychiatry",Cognitive behavioural therapy with exposure and response prevention in the treatment of obsessive-compulsive disorder: A systematic review and meta-analysis of randomised controlled trials,10.1016/j.comppsych.2021.152223,https://doi.org/10.1016/j.comppsych.2021.152223
Problem-solving therapy,"Define the problem, generate options, choose one, act, and review the result.","Cuijpers et al., 2018, European Psychiatry",Problem-solving therapy for adult depression: An updated meta-analysis,10.1016/j.eurpsy.2017.11.006,https://doi.org/10.1016/j.eurpsy.2017.11.006
Worry time,Postpone worries to a scheduled 10–20 minute window and redirect attention when they arise outside it.,"Dippel et al., 2023, Int. J. Cognitive Therapy",Effects of Worry Postponement on Daily Worry: a Meta-Analysis,10.1007/s41811-023-00193-x,https://doi.org/10.1007/s41811-023-00193-x
Progressive relaxation,Tense and release each major muscle group in sequence while noticing the contrast.,"Donato et al., 2026, J. Psychosomatic Research",Progressive muscle relaxation technique improves sleep quality and mental health: A systematic review and meta-analysis of randomized controlled trials,10.1016/j.jpsychores.2026.112563,https://doi.org/10.1016/j.jpsychores.2026.112563
Mindfulness meditation,"Focus on breath, body, or sound, and gently return attention whenever the mind wanders.","Khoury et al., 2015, J. Psychosomatic Research",Mindfulness-based stress reduction for healthy individuals: A meta-analysis,10.1016/j.jpsychores.2015.03.009,https://doi.org/10.1016/j.jpsychores.2015.03.009
Sleep restriction,"Limit time in bed to actual sleep time, then gradually expand the window as sleep efficiency improves.","Maurer et al., 2021, Sleep Medicine Reviews",The clinical effects of sleep restriction therapy for insomnia: A meta-analysis of randomised controlled trials,10.1016/j.smrv.2021.101493,https://doi.org/10.1016/j.smrv.2021.101493
Implementation intentions,"Write a specific 'If situation X happens, then I will do behavior Y' plan.","Gollwitzer & Sheeran, 2006, Adv. Exp. Social Psych.",Implementation Intentions and Goal Achievement: A Meta‐analysis of Effects and Processes,10.1016/S0065-2601(06)38002-1,https://doi.org/10.1016/S0065-2601(06)38002-1
Specific goal + feedback,Set a hard but reachable target and compare progress against it regularly.,"Epton et al., 2017, J. Consulting & Clinical Psych.",Unique effects of setting goals on behavior change: Systematic review and meta-analysis.,10.1037/ccp0000260,https://doi.org/10.1037/ccp0000260
Specific goal + feedback,Set a hard but reachable target and compare progress against it regularly.,"Mento et al., 1987, Org. Behavior & Human Decision Proc.",A meta-analytic study of the effects of goal setting on task performance: 1966–1984,10.1016/0749-5978(87)90045-8,https://doi.org/10.1016/0749-5978(87)90045-8
Self-monitoring,Record the target behavior or outcome daily so patterns become visible.,"Harkin et al., 2016, Psychological Bulletin",Does monitoring goal progress promote goal attainment? A meta-analysis of the experimental evidence.,10.1037/bul0000025,https://doi.org/10.1037/bul0000025
Feedback loops,"Review tracked data, identify the next bottleneck, and change one variable at a time.","Krukowski et al., 2024, Int. J. Behav. Nutr. & Phys. Act.","Impact of feedback generation and presentation on self-monitoring behaviors, dietary intake, physical activity, and weight: a systematic review and meta-analysis",10.1186/s12966-023-01555-6,https://doi.org/10.1186/s12966-023-01555-6
Commitment device,"Lock in money, reputation, or access ahead of time so that not following through on the desired action carries a real cost.","Rogers et al., 2014, JAMA",Commitment Devices,10.1001/jama.2014.3485,https://doi.org/10.1001/jama.2014.3485
Commitment device,"Lock in money, reputation, or access ahead of time so that not following through on the desired action carries a real cost.","Coupe et al., 2019, BMC Public Health",The effect of commitment-making on weight loss and behaviour change in adults with obesity/overweight; a systematic review,10.1186/s12889-019-7185-3,https://doi.org/10.1186/s12889-019-7185-3
Stable-cue habits,Repeat one small behavior after the same cue in the same context until it becomes automatic.,"Singh et al., 2024, Healthcare",Time to Form a Habit: A Systematic Review and Meta-Analysis of Health Behaviour Habit Formation and Its Determinants,10.3390/healthcare12232488,https://doi.org/10.3390/healthcare12232488
Habit stacking,Attach a new behavior immediately after an existing reliable routine.,"Stecher et al., 2024, J. Behavioral Medicine",Combining anchoring with financial incentives to increase physical activity: a randomized controlled trial among college students,10.1007/s10865-024-00492-4,https://doi.org/10.1007/s10865-024-00492-4
Habit stacking,Attach a new behavior immediately after an existing reliable routine.,"Kaushal et al., 2017, Annals of Behavioral Medicine",Increasing Physical Activity Through Principles of Habit Formation in New Gym Members: a Randomized Controlled Trial,10.1007/s12160-017-9881-5,https://doi.org/10.1007/s12160-017-9881-5
Default design,Make the good option the default and add extra steps to the bad option.,"Mertens et al., 2022, PNAS",The effectiveness of nudging: A meta-analysis of choice architecture interventions across behavioral domains,10.1073/pnas.2107346118,https://doi.org/10.1073/pnas.2107346118
Default design,Make the good option the default and add extra steps to the bad option.,"Jachimowicz et al., 2019, Behavioural Public Policy",When and why defaults influence decisions: a meta-analysis of default effects,10.1017/bpp.2018.43,https://doi.org/10.1017/bpp.2018.43
Social support,"Draw on others for emotional, practical, and informational support — through close relationships or a group pursuing the same goal.","Zell et al., 2024, American Psychologist",Social support and psychological adjustment: A quantitative synthesis of 60 meta-analyses.,10.1037/amp0001323,https://doi.org/10.1037/amp0001323
Social support,"Draw on others for emotional, practical, and informational support — through close relationships or a group pursuing the same goal.","Lyons et al., 2021, BMC Psychiatry",A systematic review and meta-analysis of group peer support interventions for people experiencing mental health conditions,10.1186/s12888-021-03321-z,https://doi.org/10.1186/s12888-021-03321-z
Savoring,"Slow down, attend to pleasant details, and deliberately extend the positive experience.","Chen et al., 2026, Applied Psych.: Health & Well-Being",Effectiveness of savoring interventions: A systematic review and meta‐analysis of randomized controlled trials,10.1111/aphw.70134,https://doi.org/10.1111/aphw.70134
Nature exposure,"Spend regular time walking, sitting, or exercising in green or blue spaces.","Coventry et al., 2021, SSM – Population Health",Nature-based outdoor activities for mental and physical health: Systematic review and meta-analysis,10.1016/j.ssmph.2021.100934,https://doi.org/10.1016/j.ssmph.2021.100934
Step-count target,"Pick a realistic daily step target, track it, and increase it gradually when it becomes easy.","Chaudhry et al., 2020, Int. J. Behav. Nutr. & Phys. Act.",The effects of step-count monitoring interventions on physical activity: systematic review and meta-analysis of community-based randomised controlled trials in adults,10.1186/s12966-020-01020-8,https://doi.org/10.1186/s12966-020-01020-8
Diaphragmatic breathing,Breathe low into the belly at roughly 5–6 breaths per minute for several minutes.,"Fincham et al., 2023, Scientific Reports",Effect of breathwork on stress and mental health: A meta-analysis of randomised-controlled trials,10.1038/s41598-022-27247-y,https://doi.org/10.1038/s41598-022-27247-y
Diaphragmatic breathing,Breathe low into the belly at roughly 5–6 breaths per minute for several minutes.,"Hopper et al., 2019, JBI Evidence Synthesis",Effectiveness of diaphragmatic breathing for reducing physiological and psychological stress in adults: a quantitative systematic review,10.11124/JBISRIR-2017-003848,https://doi.org/10.11124/JBISRIR-2017-003848
Action planning,"Specify exactly when, where, how, and with what materials you will act.","da Silva et al., 2018, PLoS ONE",Impact of implementation intentions on physical activity practice in adults: A systematic review and meta-analysis of randomized clinical trials,10.1371/journal.pone.0206294,https://doi.org/10.1371/journal.pone.0206294
Action planning,"Specify exactly when, where, how, and with what materials you will act.","Zhang et al., 2018, Health Psychology",A meta-analysis of the health action process approach.,10.1037/hea0000728,https://doi.org/10.1037/hea0000728
Temptation bundling,Pair a beneficial task with an indulgence you only allow during that task.,"Milkman et al., 2014, Management Science",Holding the Hunger Games Hostage at the Gym: An Evaluation of Temptation Bundling,10.1287/mnsc.2013.1784,https://doi.org/10.1287/mnsc.2013.1784
Temptation bundling,Pair a beneficial task with an indulgence you only allow during that task.,"Kirgios et al., 2020, Org. Behavior & Human Decision Proc.",Teaching temptation bundling to boost exercise: A field experiment,10.1016/j.obhdp.2020.09.003,https://doi.org/10.1016/j.obhdp.2020.09.003
Tiny Habits,"Shrink the behavior until it feels easy, perform it after a cue, and briefly celebrate completion.","Singh et al., 2024, Healthcare",Time to Form a Habit: A Systematic Review and Meta-Analysis of Health Behaviour Habit Formation and Its Determinants,10.3390/healthcare12232488,https://doi.org/10.3390/healthcare12232488
Tiny Habits,"Shrink the behavior until it feels easy, perform it after a cue, and briefly celebrate completion.","Ma et al., 2023, Int. J. Behav. Nutr. & Phys. Act.",Effects of habit formation interventions on physical activity habit strength: meta-analysis and meta-regression,10.1186/s12966-023-01493-3,https://doi.org/10.1186/s12966-023-01493-3
GTD capture,"Put every open loop into one trusted inbox, clarify the next action, and review it regularly.","Gilbert et al., 2022, Psychonomic Bulletin & Review",Outsourcing Memory to External Tools: A Review of ‘Intention Offloading’,10.3758/s13423-022-02139-4,https://doi.org/10.3758/s13423-022-02139-4
GTD capture,"Put every open loop into one trusted inbox, clarify the next action, and review it regularly.","Gilbert et al., 2020, J. Exp. Psychology: General","Optimal use of reminders: Metacognition, effort, and cognitive offloading.",10.1037/xge0000652,https://doi.org/10.1037/xge0000652
Environmental design,Change your surroundings so the desired behavior is easy and the undesired behavior is inconvenient.,"Mertens et al., 2022, PNAS",The effectiveness of nudging: A meta-analysis of choice architecture interventions across behavioral domains,10.1073/pnas.2107346118,https://doi.org/10.1073/pnas.2107346118
Values clarification,"Work out what you most deeply value in life, then use those values to decide which goals are worth setting and pursuing.","Han et al., 2022, J. Medical Internet Research",The Effects of Internet-Based Acceptance and Commitment Therapy on Process Measures: Systematic Review and Meta-analysis,10.2196/39182,https://doi.org/10.2196/39182
Values clarification,"Work out what you most deeply value in life, then use those values to decide which goals are worth setting and pursuing.","Viskovich & Pakenham, 2019, J. Clinical Psychology",Randomized controlled trial of a web‐based Acceptance and Commitment Therapy (ACT) program to promote mental health in university students,10.1002/jclp.22848,https://doi.org/10.1002/jclp.22848
Cognitive defusion,"Step back and relate to thoughts as passing mental events rather than literal truths or commands — using techniques like labeling, repeating, or otherwise creating distance from them.","Larsson et al., 2016, Behavior Modification",Using Brief Cognitive Restructuring and Cognitive Defusion Techniques to Cope With Negative Thoughts,10.1177/0145445515621488,https://doi.org/10.1177/0145445515621488
Cognitive defusion,"Step back and relate to thoughts as passing mental events rather than literal truths or commands — using techniques like labeling, repeating, or otherwise creating distance from them.","Masuda et al., 2010, J. Behav. Ther. & Exp. Psychiatry",The effects of cognitive defusion and thought distraction on emotional discomfort and believability of negative self-referential thoughts,10.1016/j.jbtep.2009.08.006,https://doi.org/10.1016/j.jbtep.2009.08.006
Gratitude journaling,Write three specific things you feel grateful for each day.,"Choi et al., 2025, PNAS",A meta-analysis of the effectiveness of gratitude interventions on well-being across cultures,10.1073/pnas.2425193122,https://doi.org/10.1073/pnas.2425193122
Gratitude journaling,Write three specific things you feel grateful for each day.,"Kirca et al., 2023, Int. J. Applied Positive Psych.",The Effect of Expressed Gratitude Interventions on Psychological Wellbeing: A Meta-Analysis of Randomised Controlled Studies,10.1007/s41042-023-00086-6,https://doi.org/10.1007/s41042-023-00086-6
Three Good Things,"Each evening, list three good events from the day and your role in them (or why they happened).","Gander et al., 2016, Frontiers in Psychology","Positive Psychology Interventions Addressing Pleasure, Engagement, Meaning, Positive Relationships, and Accomplishment Increase Well-Being and Ameliorate Depressive Symptoms: A Randomized, Placebo-Controlled Online Study",10.3389/fpsyg.2016.00686,https://doi.org/10.3389/fpsyg.2016.00686
Three Good Things,"Each evening, list three good events from the day and your role in them (or why they happened).","Mongrain & Anselmo-Matthews, 2012, J. Clinical Psych.",Do Positive Psychology Exercises Work? A Replication of Seligman et al. (),10.1002/jclp.21839,https://doi.org/10.1002/jclp.21839
Process visualization,"Before a specific task or performance, vividly rehearse yourself carrying out each step and technique well — the execution itself, not just the end result.","Lindsay et al., 2021, Phys. Education & Sport Pedagogy",Mental imagery training programs for developing sport-specific motor skills: a systematic review and meta-analysis,10.1080/17408989.2021.1991297,https://doi.org/10.1080/17408989.2021.1991297
Process visualization,"Before a specific task or performance, vividly rehearse yourself carrying out each step and technique well — the execution itself, not just the end result.","Toth et al., 2020, Psychology of Sport & Exercise",Does mental practice still enhance performance? A 24 Year follow-up and meta-analytic replication and extension,10.1016/j.psychsport.2020.101672,https://doi.org/10.1016/j.psychsport.2020.101672
Assertiveness scripts,"Describe the facts, express your feeling, specify the request, and state the consequences — in calm, direct language.","Omura et al., 2017, Int. J. Nursing Studies",The effectiveness of assertiveness communication training programs for healthcare professionals and students: A systematic review,10.1016/j.ijnurstu.2017.09.001,https://doi.org/10.1016/j.ijnurstu.2017.09.001
Active listening,Reflect the other person's point and emotion before offering advice or disagreement.,"Weger et al., 2014, Int. J. of Listening",The Relative Effectiveness of Active Listening in Initial Interactions,10.1080/10904018.2013.813234,https://doi.org/10.1080/10904018.2013.813234
Active listening,Reflect the other person's point and emotion before offering advice or disagreement.,"Lee et al., 2024, Br. J. Clinical Psychology",Listening quality leads to greater working alliance and well‐being: Testing a social identity model of working alliance,10.1111/bjc.12489,https://doi.org/10.1111/bjc.12489
Morning light,"Get bright light soon after waking — outdoors when possible, or from a light box — to anchor your circadian rhythm.","Chen et al., 2024, Frontiers in Public Health",Circadian light therapy and light dose for depressed young people: a systematic review and meta-analysis,10.3389/fpubh.2023.1257093,https://doi.org/10.3389/fpubh.2023.1257093
