Technique,Description,Citation (Author, Year, Journal),Paper Title,DOI,URL
Morning light,"Get bright light soon after waking — outdoors when possible, or from a light box — to anchor your circadian rhythm.","Chambe et al., 2023, J. of Sleep Research",Light therapy in insomnia disorder: A systematic review and meta‐analysis,10.1111/jsr.13895,https://doi.org/10.1111/jsr.13895
Daily review,"At day's end, note what happened, what worked, what failed, and tomorrow's priority.","Guo, 2021, Reflective Practice",How should reflection be supported in higher education? — A meta-analysis of reflection interventions,10.1080/14623943.2021.1995856,https://doi.org/10.1080/14623943.2021.1995856
Personal mission,"Draft a short statement of principles, roles, and long-term aims and revisit it regularly.","Boreham & Schutte, 2023, J. Clinical Psychology",The relationship between purpose in life and depression and anxiety: A meta‐analysis,10.1002/jclp.23576,https://doi.org/10.1002/jclp.23576
Personal mission,"Draft a short statement of principles, roles, and long-term aims and revisit it regularly.","Czekierda et al., 2017, Health Psychology Review",Meaning in life and physical health: systematic review and meta-analysis,10.1080/17437199.2017.1327325,https://doi.org/10.1080/17437199.2017.1327325
Life audit,"Rate major life domains, choose the lowest rated high-value domain, and set one action.","de Haan & Nilsson, 2023, Acad. of Mgmt. Learning & Education",What Can We Know about the Effectiveness of Coaching? A Meta-Analysis Based Only on Randomized Controlled Trials,10.5465/amle.2022.0107,https://doi.org/10.5465/amle.2022.0107
Deep Work,Schedule distraction-free blocks for cognitively demanding work and remove communication channels.,"Harris et al., 2023, Int. Review of Sport & Exercise Psych.",A systematic review and meta-analysis of the relationship between flow states and performance,10.1080/1750984X.2021.1929402,https://doi.org/10.1080/1750984X.2021.1929402
Deep Work,Schedule distraction-free blocks for cognitively demanding work and remove communication channels.,"Westbrook et al., 2018, BMJ Quality & Safety","Task errors by emergency physicians are associated with interruptions, multitasking, fatigue and working memory capacity: a prospective, direct observation study",10.1136/bmjqs-2017-007333,https://doi.org/10.1136/bmjqs-2017-007333
Sleep stimulus control,"Use bed only for sleep and sex, leave if awake too long, and keep a consistent wake time.","Jansson-Fröjmark et al., 2024, J. Sleep Research",Stimulus control for insomnia: A systematic review and meta‐analysis,10.1111/jsr.14002,https://doi.org/10.1111/jsr.14002
Sleep stimulus control,"Use bed only for sleep and sex, leave if awake too long, and keep a consistent wake time.","Edinger et al., 2021, J. Clinical Sleep Medicine","Behavioral and psychological treatments for chronic insomnia disorder in adults: an American Academy of Sleep Medicine systematic review, meta-analysis, and GRADE assessment",10.5664/jcsm.8988,https://doi.org/10.5664/jcsm.8988
Fixed wake time,"Wake at the same time every day, including weekends, to stabilize the sleep-wake rhythm.","Chaput et al., 2020, Appl. Physiol. Nutr. Metab.","Sleep timing, sleep consistency, and health in adults: a systematic review",10.1139/apnm-2020-0032,https://doi.org/10.1139/apnm-2020-0032
Fixed wake time,"Wake at the same time every day, including weekends, to stabilize the sleep-wake rhythm.","Kalkanis et al., 2025, Sleep Medicine Reviews",Sleep regularity as an important component of sleep hygiene: a systematic review,10.1016/j.smrv.2025.102203,https://doi.org/10.1016/j.smrv.2025.102203
SMART goals,"Convert a vague aim into a Specific, Measurable, Achievable, Relevant, and Time-bound target.","Kleingeld et al., 2011, J. Applied Psychology",The effect of goal setting on group performance: A meta-analysis.,10.1037/a0024315,https://doi.org/10.1037/a0024315
SMART goals,"Convert a vague aim into a Specific, Measurable, Achievable, Relevant, and Time-bound target.","Mento et al., 1987, Org. Behavior & Human Decision Proc.",A meta-analytic study of the effects of goal setting on task performance: 1966–1984,10.1016/0749-5978(87)90045-8,https://doi.org/10.1016/0749-5978(87)90045-8
WOOP,"Name the Wish, Outcome, Obstacle, and Plan an if-then response to the obstacle.","Wang et al., 2021, Frontiers in Psychology",A Meta-Analysis of the Effects of Mental Contrasting With Implementation Intentions on Goal Attainment,10.3389/fpsyg.2021.565202,https://doi.org/10.3389/fpsyg.2021.565202
Pomodoro Technique,"Work on one task for about 25 minutes, take a short break, and repeat.","Albulescu et al., 2022, PLoS ONE","""Give me a break!"" A systematic review and meta-analysis on the efficacy of micro-breaks for increasing well-being and performance",10.1371/journal.pone.0272460,https://doi.org/10.1371/journal.pone.0272460
Time blocking,"Reserve calendar blocks in advance for specific work you want to do during them, for time to rest, for time to exercise, etc.","Aeon et al., 2021, PLoS ONE",Does time management work? A meta-analysis,10.1371/journal.pone.0245066,https://doi.org/10.1371/journal.pone.0245066
Accountability partner,Tell someone the exact commitment and report completion on a fixed schedule.,"Harkin et al., 2016, Psychological Bulletin",Does monitoring goal progress promote goal attainment? A meta-analysis of the experimental evidence.,10.1037/bul0000025,https://doi.org/10.1037/bul0000025
Self-compassion break,"Notice suffering, remind yourself it is human, and speak to yourself as a good coach would.","Ferrari et al., 2019, Mindfulness",Self-Compassion Interventions and Psychosocial Outcomes: a Meta-Analysis of RCTs,10.1007/s12671-019-01134-6,https://doi.org/10.1007/s12671-019-01134-6
Self-compassion break,"Notice suffering, remind yourself it is human, and speak to yourself as a good coach would.","Han et al., 2023, Mindfulness","Effects of Self-Compassion Interventions on Reducing Depressive Symptoms, Anxiety, and Stress: A Meta-Analysis",10.1007/s12671-023-02148-x,https://doi.org/10.1007/s12671-023-02148-x
Acts of kindness,Perform small concrete helpful acts and notice their effects on others and yourself.,"Curry et al., 2018, J. Experimental Social Psych.",Happy to help? A systematic review and meta-analysis of the effects of performing acts of kindness on the well-being of the actor,10.1016/j.jesp.2018.02.014,https://doi.org/10.1016/j.jesp.2018.02.014
Expressive writing,Privately write for 15–20 minutes about a stressful event and what it means.,"Frattaroli, 2006, Psychological Bulletin",Experimental disclosure and its moderators: A meta-analysis.,10.1037/0033-2909.132.6.823,https://doi.org/10.1037/0033-2909.132.6.823
Best Possible Self,Write vividly about a realistic future in which important goals have gone well.,"Carrillo et al., 2019, PLoS ONE",Effects of the Best Possible Self intervention: A systematic review and meta-analysis,10.1371/journal.pone.0222386,https://doi.org/10.1371/journal.pone.0222386
Best Possible Self,Write vividly about a realistic future in which important goals have gone well.,"Heekerens & Eid, 2020, J. Positive Psychology",Inducing positive affect and positive future expectations using the best-possible-self intervention: A systematic review and meta-analysis,10.1080/17439760.2020.1716052,https://doi.org/10.1080/17439760.2020.1716052
Strengths use,Identify a character strength and use it in a new way each day.,"Schutte & Malouff, 2019, J. Happiness Studies",The Impact of Signature Character Strengths Interventions: A Meta-analysis,10.1007/s10902-018-9990-2,https://doi.org/10.1007/s10902-018-9990-2
Daily journaling,"Write a brief uncensored account of thoughts, decisions, and lessons each day.","Sohal et al., 2022, Family Medicine & Community Health",Efficacy of journaling in the management of mental illness: a systematic review and meta-analysis,10.1136/fmch-2021-001154,https://doi.org/10.1136/fmch-2021-001154
No Zero Days,"Do at least one tiny action toward the goal every day, even on bad days.","Gardner et al., 2019, Oxford Research Encyclopedia of Psych.",Habit Formation and Behavior Change,10.1093/acrefore/9780190236557.013.129,https://doi.org/10.1093/acrefore/9780190236557.013.129
Cold exposure,"Expose yourself briefly to cold water, starting mild and short, and observe stress or mood effects.","Cain et al., 2025, PLOS ONE",Effects of cold-water immersion on health and wellbeing: A systematic review and meta-analysis,10.1371/journal.pone.0317615,https://doi.org/10.1371/journal.pone.0317615
Breathwork systems,"Follow a fixed pattern such as box breathing, 4-7-8 breathing, or cyclic hyperventilation with recovery.","Fincham et al., 2023, Scientific Reports",Effect of breathwork on stress and mental health: A meta-analysis of randomised-controlled trials,10.1038/s41598-022-27247-y,https://doi.org/10.1038/s41598-022-27247-y
Breathwork systems,"Follow a fixed pattern such as box breathing, 4-7-8 breathing, or cyclic hyperventilation with recovery.","Balban et al., 2023, Cell Reports Medicine",Brief structured respiration practices enhance mood and reduce physiological arousal,10.1016/j.xcrm.2022.100895,https://doi.org/10.1016/j.xcrm.2022.100895
Urge surfing,"Notice craving sensations as waves, breathe, and wait without acting until they crest and fall.","Demina et al., 2023, BMC Neuroscience",Mindfulness interventions for craving reduction in substance use disorders and behavioral addictions: systematic review and meta-analysis of randomized controlled trials,10.1186/s12868-023-00821-4,https://doi.org/10.1186/s12868-023-00821-4
Urge surfing,"Notice craving sensations as waves, breathe, and wait without acting until they crest and fall.","Bowen & Marlatt, 2009, Psych. of Addictive Behaviors",Surfing the urge: Brief mindfulness-based intervention for college student smokers.,10.1037/a0017127,https://doi.org/10.1037/a0017127
Identity-based habits,Treat each small behavior as evidence for the identity you want to strengthen.,"Rhodes et al., 2024, Health Psychology Review",Intervention effects on physical activity identity: a systematic review and meta-analysis,10.1080/17437199.2024.2412996,https://doi.org/10.1080/17437199.2024.2412996
Identity-based habits,Treat each small behavior as evidence for the identity you want to strengthen.,"Zhu et al., 2025, Applied Psych.: Health & Well-Being",The relationship between habit and identity in health behaviors: A systematic review and three‐level meta‐analysis,10.1111/aphw.70017,https://doi.org/10.1111/aphw.70017
Keystone habit,Pick one habit likely to improve other behaviors or make other habits easier and work on developing that habit first.,"Henriksen et al., 2025, Int. J. Behav. Nutr. & Phys. Act.",Spillover effect of a dietary intervention on physical activity in a randomized controlled trial with colorectal cancer patients,10.1186/s12966-025-01757-0,https://doi.org/10.1186/s12966-025-01757-0
Don't Break the Chain,Mark each day you complete the habit and try to preserve the streak.,"Maher et al., 2022, Games for Health Journal","Gamification in a Physical Activity App: What Gamification Features Are Being Used, by Whom, and Does It Make a Difference?",10.1089/g4h.2021.0207,https://doi.org/10.1089/g4h.2021.0207
Eat the Frog,Do the most aversive high-value task first in the workday.,"Habbert et al., 2020, J. Experimental Social Psych.","To build efficacy, eat the frog first: People misunderstand how the difficulty-ordering of tasks influences efficacy",10.1016/j.jesp.2020.104032,https://doi.org/10.1016/j.jesp.2020.104032
Eat the Frog,Do the most aversive high-value task first in the workday.,"Zhang et al., 2025, Personnel Psychology",Harnessing the Potential of Workday Design: The Sequencing of Task Difficulty and Its Implications for Workday Well‐Being and Performance,10.1111/peps.12685,https://doi.org/10.1111/peps.12685
Dopamine fast,Take a planned break from compulsive high-reward behaviors and replace them with low-stimulation activities.,"Lambert et al., 2022, Cyberpsych., Behavior & Soc. Networking","Taking a One-Week Break from Social Media Improves Well-Being, Depression, and Anxiety: A Randomized Controlled Trial",10.1089/cyber.2021.0324,https://doi.org/10.1089/cyber.2021.0324
Dopamine fast,Take a planned break from compulsive high-reward behaviors and replace them with low-stimulation activities.,"Burnell et al., 2025, SSM – Mental Health",The effects of social media restriction: Meta-analytic evidence from randomized controlled trials,10.1016/j.ssmmh.2025.100459,https://doi.org/10.1016/j.ssmmh.2025.100459
Power posing,Stand or sit expansively for a minute or two before a challenging interaction.,"Ranehill et al., 2015, Psychological Science",Assessing the Robustness of Power Posing,10.1177/0956797614553946,https://doi.org/10.1177/0956797614553946
Power posing,Stand or sit expansively for a minute or two before a challenging interaction.,"Smith & Apicella, 2017, Hormones and Behavior","Winners, losers, and posers: The effect of power poses on testosterone and risk-taking following competition",10.1016/j.yhbeh.2016.11.003,https://doi.org/10.1016/j.yhbeh.2016.11.003
EFT / tapping,"While naming a distressing issue, tap through the standard point sequence and re-rate emotional intensity.","Boness et al., 2024, J. Psychotherapy Integration",Acupressure in psychotherapy as an unsinkable rubber duck: A reply to Feinstein (2023).,10.1037/int0000315,https://doi.org/10.1037/int0000315
Vision board,Create a collage of goal-related images or words.,"Kappes & Oettingen, 2011, J. Experimental Social Psych.",Positive fantasies about idealized futures sap energy,10.1016/j.jesp.2011.02.003,https://doi.org/10.1016/j.jesp.2011.02.003
Vision board,Create a collage of goal-related images or words.,"Oettingen, 2012, European Review of Social Psych.",Future thought and behaviour change,10.1080/10463283.2011.643698,https://doi.org/10.1080/10463283.2011.643698
Positive affirmations,"Repeat short positive statements about yourself (e.g., 'I am strong and capable.').","Wood et al., 2009, Psychological Science",Positive Self-Statements,10.1111/j.1467-9280.2009.02370.x,https://doi.org/10.1111/j.1467-9280.2009.02370.x
Lucky Girl Syndrome,Repeat that things tend to work out for you and look for opportunities that match the expectation.,"Dixon et al., 2025, Pers. & Social Psych. Bulletin",“The Secret” to Success? The Psychology of Belief in Manifestation,10.1177/01461672231181162,https://doi.org/10.1177/01461672231181162
Scripting manifestation,Write a future scene as if the desired outcome has already happened.,"Dixon et al., 2025, Pers. & Social Psych. Bulletin",“The Secret” to Success? The Psychology of Belief in Manifestation,10.1177/01461672231181162,https://doi.org/10.1177/01461672231181162
Binaural beats,Listen to two slightly different tones through headphones to try to induce a target mental state.,"Basu et al., 2022, Psychological Research",Potential of binaural beats intervention for improving memory and attention: insights from meta-analysis and systematic review,10.1007/s00426-022-01706-7,https://doi.org/10.1007/s00426-022-01706-7
Binaural beats,Listen to two slightly different tones through headphones to try to induce a target mental state.,"Leistiko et al., 2023, Current Psychology",Effects of gamma frequency binaural beats on attention and anxiety,10.1007/s12144-023-04681-3,https://doi.org/10.1007/s12144-023-04681-3
Brain training games,"Play cognitive games daily, but expect improvement mainly on trained or nearby tasks rather than broad intelligence.","Simons et al., 2016, Psych. Science in the Public Interest",Do “Brain-Training” Programs Work?,10.1177/1529100616661983,https://doi.org/10.1177/1529100616661983
Brain training games,"Play cognitive games daily, but expect improvement mainly on trained or nearby tasks rather than broad intelligence.","Nguyen et al., 2021, Neuropsychology Review",A Game a Day Keeps Cognitive Decline Away? A Systematic Review and Meta-Analysis of Commercially-Available Brain Training Programs in Healthy and Cognitively Impaired Older Adults,10.1007/s11065-021-09515-2,https://doi.org/10.1007/s11065-021-09515-2
"10,000-hour rule","Accumulate practice hours, but do not expect hours alone to overcome feedback quality, genetics, timing, and domain constraints.","Macnamara et al., 2014, Psychological Science","Deliberate Practice and Performance in Music, Games, Sports, Education, and Professions: A Meta-Analysis",10.1177/0956797614535810,https://doi.org/10.1177/0956797614535810
"10,000-hour rule","Accumulate practice hours, but do not expect hours alone to overcome feedback quality, genetics, timing, and domain constraints.","Macnamara et al., 2016, Perspectives on Psych. Science",The Relationship Between Deliberate Practice and Performance in Sports,10.1177/1745691616635591,https://doi.org/10.1177/1745691616635591
Polyphasic sleep,Split sleep into many short naps to reduce total sleep.,"Weaver et al., 2021, Sleep Health (Nat. Sleep Foundation)",Adverse impact of polyphasic sleep patterns in humans: Report of the National Sleep Foundation sleep timing and variability consensus panel,10.1016/j.sleh.2021.02.009,https://doi.org/10.1016/j.sleh.2021.02.009
369 method,"Write a desired outcome 3 times in the morning, 6 times midday, and 9 times at night.","Dixon et al., 2025, Pers. & Social Psych. Bulletin",“The Secret” to Success? The Psychology of Belief in Manifestation,10.1177/01461672231181162,https://doi.org/10.1177/01461672231181162
Subliminal audio,Play affirming messages below conscious audibility while relaxing or sleeping.,"Greenwald et al., 1991, Psychological Science",Double-Blind Tests of Subliminal Self-Help Audiotapes,10.1111/j.1467-9280.1991.tb00112.x,https://doi.org/10.1111/j.1467-9280.1991.tb00112.x
Solfeggio frequencies,"Play tracks marketed as specific healing frequencies during meditation, rest, or work.","Bando et al., 2023, Int. J. Complementary & Alt. Medicine",Certain frequency music has attracted attention for possible effective healing,10.15406/ijcam.2023.16.00639,https://doi.org/10.15406/ijcam.2023.16.00639
Crystals for healing,Hold or display a crystal to balance energy or heal yourself.,"Escolà-Gascón et al., 2025, CNS Spectrums",Placebo effects in alternative medical treatments for anxiety: false hope or healing potential?,10.1017/S1092852925100515,https://doi.org/10.1017/S1092852925100515
Astrology planning,"Choose goals or timing based on horoscopes, signs, or transits.","Carlson, 1985, Nature",A double-blind test of astrology,10.1038/318419a0,https://doi.org/10.1038/318419a0
Numerology goals,"Select goals, dates, or habits based on personally meaningful numbers.","Rodríguez Garcés et al., 2019, Universitas Psychologica","Entre milagros, espíritus y esoterismo: pensamiento mágico y pseudociencia en el Chile globalizado del siglo XXI",10.11144/Javeriana.upsy18-4.emee,https://doi.org/10.11144/Javeriana.upsy18-4.emee
Law of Attraction,"Think, visualize, or 'vibrate' as if the desired outcome is inevitable or has already happened.","Dixon et al., 2025, Pers. & Social Psych. Bulletin",“The Secret” to Success? The Psychology of Belief in Manifestation,10.1177/01461672231181162,https://doi.org/10.1177/01461672231181162
Law of Attraction,"Think, visualize, or 'vibrate' as if the desired outcome is inevitable or has already happened.","Larsen et al., 2019, Alt. Spirituality & Religion Review",Positive Thinking,10.5840/asrr2019111160,https://doi.org/10.5840/asrr2019111160
Multitasking hack,Rapidly switch between tasks or media streams to get multiple things done at once.,"May & Elder, 2018, Int. J. Educ. Tech. in Higher Ed.","Efficient, helpful, or distracting? A literature review of media multitasking in relation to academic performance",10.1186/s41239-018-0096-z,https://doi.org/10.1186/s41239-018-0096-z
Detox cleanses,"Use juices, teas, fasting, or colon cleanses to 'flush toxins' from the body.","Klein & Kiat, 2015, J. Human Nutrition & Dietetics",Detox diets for toxin elimination and weight management: a critical review of the evidence,10.1111/jhn.12286,https://doi.org/10.1111/jhn.12286
